StateNames,statecode,Year,schools_established,sc_schools,st_schools,tot_min_schools,SC_res,ST_res,Elec_Yrs_ECI,female_win_prop,SC_curr_share,ST_curr_share,sc_census_share,st_census_share,Population_Density_SqKm,sc_school_prop,st_school_prop,minority_schools_prop,ST_res_inter_ST_curr_share,SC_res_inter_SC_curr_share
Kerala,7,1996,129,24,13,31,9.28571428571429,.714285714285714,1,9.15492957746479,10.28145950331807,1.265409476053499,10.98094781341347,1.446263705151277,702,.186046511627907,.1007751937984496,.2403100775193799,.9038639114667848,95.47069538795353
Maharashtra,8,1996,1243,198,202,400,6.25,7.638888888888889,0,3.81944444444444,10.6238114030797,10.31366003886112,11.47212532808509,13.23635592416757,230,.1592920353982301,.1625100563153661,.3218020917135961,78.78490307463359,66.39882126924812
Madhya Pradesh,9,1996,4387,700,679,1379,13.75,23.4375,0,3.75,14.99911736949561,24.1803380861556,14.79553269123193,28.81994026513299,141,.1595623432869843,.1547754729883747,.314337816275359,566.7266738942719,206.2378638305646
Odisha,10,1996,476,78,73,144,14.9659863945578,23.1292517006803,0,5.40540540540541,16.59789754886749,23.06667232139693,16.69538828663288,24.32293920751082,186,.1638655462184874,.1533613445378151,.3025210084033613,533.5148700187052,248.4039088946151
Punjab,11,1996,1140,201,0,201,24.7863247863248,0,0,5.12820512820513,29.99182565481701,0,31.93032221726416,0,368,.1763157894736842,0,.1763157894736842,0,743.3871316151228
Rajasthan,12,1996,1687,358,303,615,16.5829145728643,12.0603015075377,0,4.52261306532663,17.46561132831607,13.61944948759738,17.98084244213502,15.38220902241403,114,.2122110254890338,.1796087729697688,.3645524599881446,164.2546671871043,289.6307406203163
Tamil Nadu,13,1996,497,62,98,130,17.9487179487179,1.28205128205128,1,3.84615384615385,20.45181067621824,1.166007265949847,22.91389272945199,1.373543779818437,400,.124748490945674,.1971830985915493,.261569416498994,1.494881110192109,367.0837813680186
Tripura,14,1996,38,8,2,10,11.6666666666667,33.3333333333333,0,1.66666666666667,16.90046485005117,33.11279696344221,16.25633059357289,35.93533503119696,230,.2105263157894737,.0526315789473684,.2631578947368421,1103.759898781406,197.1720899172642
Uttar Pradesh,15,1996,5501,1117,926,1989,20.9905660377358,.235849056603774,1,4.71698113207547,21.95564337910917,.1364732238275957,23.15866576665233,.2430605490419866,492,.203053990183603,.1683330303581167,.3615706235229958,.0321870810914141,460.8613822501679
West Bengal,16,1996,252,43,19,52,20.0680272108844,5.78231292517007,1,6.802721088435371,24.74628427030405,6.190239246800532,27.55783813949599,7.317037403248637,691,.1706349206349206,.0753968253968254,.2063492063492063,35.79390040666976,496.6091061047423
